ano_referencia,territorio,componente,faixa,deficit_domicilios
2022,Brasil,deficit_total,acima_faixa_3,216472
2022,Brasil,deficit_total,total,6215313
2022,Total das RM,precaria,faixa_1,289880
2022,Total das RM,precaria,faixa_2,24201
2022,Total das RM,precaria,faixa_3,19447
2022,Total das RM,precaria,acima_faixa_3,8345
2022,Total das RM,precaria,total,341873
2022,Total das RM,coabitacao,faixa_1,129229
2022,Total das RM,coabitacao,faixa_2,127085
2022,Total das RM,coabitacao,faixa_3,170957
2022,Total das RM,coabitacao,acima_faixa_3,103949
2022,Total das RM,coabitacao,total,531221
2022,Total das RM,onus_aluguel,faixa_1,1190988
2022,Total das RM,onus_aluguel,faixa_2,246018
2022,Total das RM,onus_aluguel,faixa_3,0
2022,Total das RM,onus_aluguel,acima_faixa_3,0
2022,Total das RM,onus_aluguel,total,1437006
2022,Total das RM,deficit_total,faixa_1,1610097
2022,Total das RM,deficit_total,faixa_2,397304
2022,Total das RM,deficit_total,faixa_3,190404
2022,Total das RM,deficit_total,acima_faixa_3,112294
2022,Total das RM,deficit_total,total,2310100
2022,Demais áreas,precaria,faixa_1,1192412
2022,Demais áreas,precaria,faixa_2,87940
2022,Demais áreas,precaria,faixa_3,51310
2022,Demais áreas,precaria,acima_faixa_3,9119
2022,Demais áreas,precaria,total,1340781
2022,Demais áreas,coabitacao,faixa_1,255154
2022,Demais áreas,coabitacao,faixa_2,200569
2022,Demais áreas,coabitacao,faixa_3,207876
2022,Demais áreas,coabitacao,acima_faixa_3,95058
2022,Demais áreas,coabitacao,total,758658
2022,Demais áreas,onus_aluguel,faixa_1,1572383
2022,Demais áreas,onus_aluguel,faixa_2,233392
2022,Demais áreas,onus_aluguel,faixa_3,0
2022,Demais áreas,onus_aluguel,acima_faixa_3,0
2022,Demais áreas,onus_aluguel,total,1805774
2022,Demais áreas,deficit_total,faixa_1,3019949
2022,Demais áreas,deficit_total,faixa_2,521901
2022,Demais áreas,deficit_total,faixa_3,259186
2022,Demais áreas,deficit_total,acima_faixa_3,104177
2022,Demais áreas,deficit_total,total,3905213
