ano,rubrica,valor_rs_milhares,arquivo_fonte,pagina_fonte,localizador_fonte,tratamento
2024,TVM não circulante,120670985,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2024,Financiamentos circulantes,49444417,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2024,Financiamentos não circulantes,502762338,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2024,Outros empréstimos e recebíveis,8592449,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2024,Demais ativos,27006538,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,residual do ativo
2024,Ativo total,770480625,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2024,Passivo total,651736378,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2024,Patrimônio líquido,118744247,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2024,Depósitos vinculados,643823574,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,Caixa e equivalentes,33466156,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,TVM circulante,21594006,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,TVM não circulante,124452347,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,Financiamentos circulantes,56686126,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,Financiamentos não circulantes,568598317,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,Outros empréstimos e recebíveis,4603220,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,Demais ativos,28343048,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,residual do ativo
2025,Ativo total,837743220,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,Passivo total,711766538,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,Patrimônio líquido,125976682,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
2025,Depósitos vinculados,709097614,Demonstracao_Financeira_FGTS_2025.pdf,1,BP Controladora,publicado
